route_id,route_number,route_description,distance_dir_0_km,distance_dir_1_km,trip_time_0_min,trip_time_1_min,road_gradient_0_%,road_gradient_1_%,number_of_daily_roundtrips_0,number_of_daily_roundtrips_1,stop_coordinates_array_0,stop_coordinates_array_1,base_buses,passenger_daily_demand,reduction_CO2_kg,equity_score
1,1,Bronzeville/Union Station,23.53,24.99,34.5,41.5,,,28.0,24.0,"[[41.87445069, -87.64435123], [41.87461141, -87.64234476], [41.87691184, -87.64242129], [41.87800485, -87.63978175], [41.87801246, -87.63831201], [41.87805885, -87.63540675], [41.87808885, -87.63287375], [41.87812885, -87.62947275], [41.87814885, -87.62790475], [41.87821585, -87.62575775], [41.87627885, -87.62440175], [41.87456745, -87.62437947], [41.87329585, -87.62433475], [41.87201385, -87.62430975], [41.87029565, -87.62427657], [41.86909885, -87.62428375], [41.86712796, -87.62426473], [41.8656027, -87.62423267], [41.86389085, -87.62419075], [41.85995246, -87.62409992], [41.85765363, -87.62404682], [41.85534841, -87.62399841], [41.85400371, -87.62396845], [41.8525207, -87.6239148], [41.85128359, -87.62387116], [41.84939085, -87.62383012], [41.84716429, -87.62377257], [41.84547219, -87.62372217], [41.84313628, -87.62366253], [41.84174704, -87.6236298], [41.84048785, -87.62355074], [41.83819823, -87.62359705], [41.83622985, -87.62347074], [41.83450586, -87.62344105], [41.83276285, -87.62336274]]","[[41.83132429, -87.62168256], [41.83298285, -87.62171274], [41.83495645, -87.62175813], [41.83643785, -87.62176374], [41.83825585, -87.62183074], [41.84060985, -87.62312074], [41.84188985, -87.62324574], [41.84363785, -87.62325374], [41.8458955, -87.62332593], [41.84732085, -87.62350575], [41.84946926, -87.62360839], [41.85115718, -87.62359165], [41.8531941, -87.62371448], [41.8545283, -87.62374702], [41.85571821, -87.62377619], [41.85813463, -87.62383315], [41.8605098, -87.62388583], [41.86451556, -87.62396506], [41.86599158, -87.62400465], [41.86790056, -87.62396984], [41.86915256, -87.62397025], [41.87051049, -87.62401209], [41.87179469, -87.62403975], [41.87340285, -87.62408775], [41.87554805, -87.62413205], [41.87669785, -87.62416575], [41.87958285, -87.62588975], [41.87951659, -87.62811104], [41.87948005, -87.63111025], [41.87943385, -87.63402975], [41.87940785, -87.63654775], [41.87874885, -87.64117675], [41.87445069, -87.64435123]]",,,,
2,2,Hyde Park Express,57.71,56.59,60.5,56.0,,,33.0,30.0,"[[41.89266187, -87.61110415], [41.89201886, -87.61213075], [41.89195686, -87.61539675], [41.8919258, -87.61799011], [41.89186986, -87.62001475], [41.89345286, -87.62058375], [41.89340486, -87.62256375], [41.89269886, -87.62433375], [41.89104012, -87.62429915], [41.88990186, -87.62424975], [41.88836786, -87.62506075], [41.88590086, -87.62805875], [41.88337885, -87.62797775], [41.88086385, -87.62783975], [41.87832585, -87.62777575], [41.87700065, -87.62776972], [41.87500459, -87.62770176], [41.87305687, -87.6272907], [41.8731092, -87.62358528], [41.87315785, -87.62085775], [41.86936947, -87.62066164], [41.79122284, -87.58678073], [41.78806584, -87.58672073], [41.78618317, -87.58716503], [41.78611611, -87.59406311], [41.78608613, -87.59622006], [41.7860168, -87.59805812], [41.78597862, -87.60108509], [41.78593871, -87.60592066], [41.78636711, -87.60625913]]","[[41.78636711, -87.60625913], [41.7858486, -87.60556218], [41.78587188, -87.60383716], [41.78589605, -87.60089544], [41.78590627, -87.5995088], [41.78592946, -87.59772764], [41.78595865, -87.59645483], [41.7860584, -87.59324202], [41.78624299, -87.59140417], [41.78809199, -87.58653887], [41.78962784, -87.58658073], [41.79134784, -87.58663573], [41.86936738, -87.62036045], [41.87327185, -87.62100775], [41.87322885, -87.62394375], [41.87315849, -87.62737141], [41.87489071, -87.62745857], [41.87685552, -87.62754829], [41.87940926, -87.62761545], [41.88193285, -87.62768075], [41.88435886, -87.62779675], [41.88560886, -87.62782875], [41.88669686, -87.62783675], [41.88808386, -87.62443075], [41.89021286, -87.62397475], [41.89177686, -87.62403975], [41.89250686, -87.62285875], [41.89234786, -87.62038575], [41.89100986, -87.61786575], [41.89104986, -87.61538175], [41.89103297, -87.61315337], [41.89266187, -87.61110415]]",,,,
3,3,King Drive,74.28,69.87,96.0,91.3,,,111.0,107.0,"[[41.89408886, -87.62022975], [41.89569686, -87.62029075], [41.89684602, -87.62171442], [41.89583088, -87.62442823], [41.89429086, -87.62436975], [41.89269886, -87.62433375], [41.89104012, -87.62429915], [41.88990186, -87.62424975], [41.88691229, -87.62468635], [41.88511186, -87.62462075], [41.88342185, -87.62459375], [41.88063279, -87.62452219], [41.87843685, -87.62445175], [41.87627885, -87.62440175], [41.87456745, -87.62437947], [41.87329585, -87.62433475], [41.87201385, -87.62430975], [41.87029565, -87.62427657], [41.86909885, -87.62428375], [41.86712796, -87.62426473], [41.8656027, -87.62423267], [41.86389085, -87.62419075], [41.85995246, -87.62409992], [41.85765363, -87.62404682], [41.85534841, -87.62399841], [41.85400371, -87.62396845], [41.85277856, -87.62183513], [41.85108642, -87.61905895], [41.84732692, -87.61782217], [41.84546261, -87.61777385], [41.84337173, -87.6177213], [41.84187523, -87.61765288], [41.8402478, -87.61758666], [41.83855077, -87.61756196], [41.83631558, -87.61754592], [41.83494895, -87.61749686], [41.83085351, -87.61741932], [41.82927849, -87.61718231], [41.82741161, -87.61718383], [41.825547, -87.61714741], [41.82366387, -87.61711613], [41.82260792, -87.61704193], [41.82006765, -87.6170185], [41.81828404, -87.61695139], [41.81651616, -87.61691856], [41.8147141, -87.61685976], [41.81288909, -87.61680754], [41.81105484, -87.61675425], [41.80917191, -87.61668774], [41.80734462, -87.61663072], [41.80559494, -87.61659648], [41.8037241, -87.61656264], [41.80187612, -87.61623975], [41.80040278, -87.61621908], [41.79826554, -87.61614454], [41.79648065, -87.61610071], [41.79490332, -87.61605792], [41.79423447, -87.61604169], [41.79279484, -87.61598874], [41.7910012, -87.61596321], [41.78920667, -87.6158587], [41.78737967, -87.6158447], [41.78578179, -87.61583961], [41.78367464, -87.61579029], [41.78192484, -87.61573873], [41.78047308, -87.61569717], [41.77996631, -87.6156994], [41.77814584, -87.61567274], [41.77639584, -87.61562574], [41.77464084, -87.61556773], [41.77305699, -87.61555135], [41.77266164, -87.61554062], [41.77054151, -87.61547584], [41.7694337, -87.61544566], [41.76749707, -87.61536187], [41.76556984, -87.61532873], [41.76375771, -87.61533132], [41.76190519, -87.61529222], [41.76010493, -87.61526047], [41.75816483, -87.61521317], [41.75648007, -87.61518086], [41.75465561, -87.61511221], [41.7528097, -87.61509846], [41.75092864, -87.61504468], [41.74946083, -87.61496873], [41.74734132, -87.61494642], [41.74551253, -87.61488883], [41.74376707, -87.61477666], [41.74186923, -87.6147553], [41.74006455, -87.61473315], [41.73825466, -87.61468464], [41.73634958, -87.61459688], [41.73454908, -87.61453641], [41.73272108, -87.61450241], [41.73097408, -87.6144594], [41.72917078, -87.61437808], [41.72689581, -87.61434978], [41.72543581, -87.61428978], [41.72350781, -87.61423478], [41.72199609, -87.61445396], [41.72196371, -87.61646558], [41.72192477, -87.61882512], [41.7215306, -87.62067708], [41.72006167, -87.62064496], [41.71824945, -87.62060484], [41.71645683, -87.62055173], [41.72143838, -87.6236348]]","[[41.72143838, -87.6236348], [41.72168377, -87.62074179], [41.72171112, -87.61911729], [41.72175499, -87.61666962], [41.72224226, -87.61407243], [41.72377032, -87.61403302], [41.72566299, -87.61407517], [41.72697758, -87.61418906], [41.72926244, -87.61424775], [41.73111641, -87.61428351], [41.73267647, -87.61424941], [41.73469966, -87.61433614], [41.7366897, -87.61446816], [41.73837516, -87.61441135], [41.74021716, -87.61447735], [41.74210816, -87.61450635], [41.74388663, -87.61452047], [41.74575587, -87.61461639], [41.74763497, -87.61481003], [41.74938671, -87.61484079], [41.75131436, -87.61487724], [41.75308308, -87.61491116], [41.75484317, -87.61484233], [41.75668216, -87.61493395], [41.75860542, -87.61504075], [41.76040449, -87.61511504], [41.76194999, -87.61512512], [41.76403685, -87.61518112], [41.76583944, -87.61513734], [41.76766829, -87.61515906], [41.76948011, -87.61528297], [41.77046084, -87.61532074], [41.77265206, -87.61535675], [41.77314557, -87.61536909], [41.77497836, -87.61540794], [41.77671777, -87.61545891], [41.77831484, -87.61550273], [41.78044501, -87.61554363], [41.78223842, -87.61560474], [41.78405755, -87.61564619], [41.78563301, -87.61568785], [41.787665, -87.61571191], [41.78931441, -87.61577042], [41.7912915, -87.61582579], [41.79311884, -87.6158743], [41.79441006, -87.61590438], [41.7950306, -87.61592043], [41.79681253, -87.61596707], [41.79842454, -87.61598809], [41.80026221, -87.61605332], [41.80236658, -87.61601625], [41.80408606, -87.61632151], [41.80586244, -87.61638127], [41.80777905, -87.61643377], [41.80963513, -87.61650239], [41.811389, -87.61654932], [41.81318022, -87.61651444], [41.81497058, -87.61662441], [41.81688825, -87.61649064], [41.81861569, -87.61673212], [41.82042601, -87.61676294], [41.82258158, -87.6168457], [41.82394737, -87.61690411], [41.82574337, -87.61693552], [41.82764365, -87.61696315], [41.82920784, -87.61701365], [41.83147352, -87.61685908], [41.83349285, -87.61690774], [41.83495775, -87.61693928], [41.83679151, -87.61697183], [41.83830204, -87.61703392], [41.83973285, -87.61708274], [41.84229785, -87.61717574], [41.84335785, -87.61713574], [41.84551585, -87.61722574], [41.84766556, -87.61729773], [41.85154397, -87.61885453], [41.85303433, -87.62083918], [41.8531941, -87.62371448], [41.8545283, -87.62374702], [41.85571821, -87.62377619], [41.85813463, -87.62383315], [41.8605098, -87.62388583], [41.86451556, -87.62396506], [41.86599158, -87.62400465], [41.86790056, -87.62396984], [41.86915256, -87.62397025], [41.87051049, -87.62401209], [41.87179469, -87.62403975], [41.87340285, -87.62408775], [41.87554805, -87.62413205], [41.87814285, -87.62419875], [41.88067237, -87.62419229], [41.88237485, -87.62421075], [41.88469579, -87.6243233], [41.8867076, -87.62438975], [41.88808386, -87.62443075], [41.89021286, -87.62397475], [41.89177686, -87.62403975], [41.89320186, -87.62409475], [41.89480586, -87.62410975], [41.89654286, -87.62413875], [41.89667923, -87.6219641], [41.89672386, -87.62053575], [41.89513486, -87.62038075]]",,,,
4,4,Cottage Grove,83.72,88.33,106.0,102.0,,,103.0,112.0,"[[41.88478786, -87.62051875], [41.88809797, -87.6208499], [41.88833474, -87.62286036], [41.88691229, -87.62468635], [41.88511186, -87.62462075], [41.88342185, -87.62459375], [41.88063279, -87.62452219], [41.87843685, -87.62445175], [41.87627885, -87.62440175], [41.87456745, -87.62437947], [41.87329585, -87.62433475], [41.87201385, -87.62430975], [41.87029565, -87.62427657], [41.86909885, -87.62428375], [41.86712796, -87.62426473], [41.8656027, -87.62423267], [41.86389085, -87.62419075], [41.85995246, -87.62409992], [41.85765363, -87.62404682], [41.85534841, -87.62399841], [41.85400371, -87.62396845], [41.8525207, -87.6239148], [41.85128359, -87.62387116], [41.84939085, -87.62383012], [41.84716429, -87.62377257], [41.84547219, -87.62372217], [41.84313628, -87.62366253], [41.84174704, -87.6236298], [41.84048785, -87.62355074], [41.83819823, -87.62359705], [41.83622985, -87.62347074], [41.83450586, -87.62344105], [41.83276285, -87.62336274], [41.83100593, -87.62150853], [41.8310257, -87.6195256], [41.83103024, -87.61763027], [41.83105317, -87.61676479], [41.83109007, -87.61402834], [41.83108849, -87.61108227], [41.82920422, -87.60967624], [41.82783692, -87.60897146], [41.82612702, -87.60809767], [41.82412485, -87.60707374], [41.82295485, -87.60692874], [41.82167085, -87.60690274], [41.82043676, -87.60682509], [41.81877785, -87.60683574], [41.81658482, -87.60680602], [41.81514484, -87.60673874], [41.81297846, -87.6067692], [41.81148484, -87.60668074], [41.80965684, -87.60668309], [41.80785984, -87.60660074], [41.80563985, -87.60659809], [41.80420948, -87.6065572], [41.80234298, -87.6065358], [41.8015837, -87.60650184], [41.80042084, -87.60643073], [41.79850241, -87.60641348], [41.79677484, -87.60634573], [41.79509462, -87.60633606], [41.79314734, -87.60633454], [41.79145885, -87.60625543], [41.78968916, -87.6062439], [41.78806416, -87.6062069], [41.78579716, -87.6061749], [41.78414477, -87.60613567], [41.78239084, -87.60606773], [41.78053259, -87.60604548], [41.77835209, -87.60599871], [41.776879, -87.60596549], [41.77505654, -87.60592596], [41.77291338, -87.60589981], [41.77141763, -87.60584317], [41.76959351, -87.60580219], [41.76754626, -87.60575795], [41.76538076, -87.60507525], [41.76337284, -87.60228964], [41.76208336, -87.60049253], [41.76046729, -87.5982471], [41.75871171, -87.59814669], [41.7587149, -87.60041268], [41.75869157, -87.60280306], [41.75845049, -87.60544157], [41.75684808, -87.60547544], [41.75500762, -87.60542365], [41.75320693, -87.60538974], [41.75111232, -87.60536393], [41.74958376, -87.60532157], [41.74775983, -87.60523073], [41.74591983, -87.60518073], [41.74381869, -87.60515529], [41.74218085, -87.60508169], [41.74036285, -87.60502369], [41.73833469, -87.6049856], [41.7367825, -87.60496944], [41.73494983, -87.60487873], [41.73315083, -87.60483573], [41.73135083, -87.60480573], [41.72912788, -87.60477324], [41.72760186, -87.60470907], [41.72546449, -87.60468606], [41.72271838, -87.60462411], [41.72183548, -87.60331984], [41.72021293, -87.60372575], [41.71832793, -87.60413574], [41.71662865, -87.60454374], [41.71466121, -87.60498103], [41.71301105, -87.6053847], [41.7109716, -87.60581446], [41.70937309, -87.6061789], [41.70754669, -87.60661249], [41.70555096, -87.60702286], [41.70398883, -87.60741273], [41.70210082, -87.60781273], [41.70033182, -87.60823573], [41.69837282, -87.60866673], [41.69671782, -87.60907473], [41.69466318, -87.60948533], [41.6929052, -87.6099333], [41.69108082, -87.61037972], [41.68899189, -87.61080495], [41.68745682, -87.61119673], [41.68559582, -87.61150573], [41.68560486, -87.61233205]]","[[41.68560486, -87.61233205], [41.68903532, -87.61318556], [41.69087096, -87.61323073], [41.69264574, -87.61329559], [41.69267829, -87.61226865], [41.69310885, -87.60967137], [41.69464982, -87.60932273], [41.69651587, -87.60890511], [41.6980792, -87.60852408], [41.7002115, -87.6080585], [41.70188468, -87.60769246], [41.70369942, -87.60725366], [41.70553576, -87.60684395], [41.70782579, -87.60634234], [41.70920218, -87.60603149], [41.71118807, -87.60559179], [41.71275677, -87.60521748], [41.7146381, -87.60476529], [41.71655375, -87.60436418], [41.71835061, -87.60395933], [41.72020183, -87.60352166], [41.72152752, -87.60321745], [41.72240981, -87.604366], [41.72553156, -87.60443926], [41.72743095, -87.60449733], [41.72928276, -87.60452425], [41.73109712, -87.60456366], [41.73294481, -87.60460671], [41.73473267, -87.60465414], [41.73654552, -87.60469941], [41.73837221, -87.60474733], [41.74025865, -87.60480037], [41.74203665, -87.60485037], [41.74393536, -87.60485979], [41.74578736, -87.60493579], [41.74794459, -87.6050282], [41.74905804, -87.6050599], [41.75116653, -87.60511443], [41.75306161, -87.60510096], [41.75488533, -87.60544367], [41.75668861, -87.60521196], [41.75853846, -87.60521332], [41.75852882, -87.60305415], [41.75855882, -87.60065415], [41.75855484, -87.59823773], [41.75910781, -87.59592368], [41.76040044, -87.59774939], [41.76215207, -87.60017984], [41.76354283, -87.60212616], [41.76618084, -87.60547566], [41.76753872, -87.60553317], [41.76937649, -87.60555381], [41.77131048, -87.60562215], [41.77332199, -87.60564409], [41.77488056, -87.60569772], [41.77701987, -87.60575071], [41.778787, -87.60579406], [41.78057559, -87.60582442], [41.78216386, -87.60586397], [41.78398147, -87.60588367], [41.78574462, -87.60593984], [41.78763916, -87.60597797], [41.78940641, -87.60602907], [41.79163955, -87.6060732], [41.79309976, -87.60610984], [41.79523892, -87.606154], [41.79658484, -87.60620573], [41.79855723, -87.60622944], [41.80034084, -87.60627573], [41.8013111, -87.60627019], [41.80248531, -87.60630386], [41.80394584, -87.60634574], [41.80573584, -87.60639574], [41.80759584, -87.60643774], [41.80975571, -87.60646765], [41.81152956, -87.60650112], [41.81305284, -87.60656574], [41.81480584, -87.60659774], [41.81671471, -87.60661618], [41.81847084, -87.60669074], [41.82037085, -87.60675074], [41.82136485, -87.60677774], [41.82258323, -87.60679056], [41.8242926, -87.60698481], [41.82623431, -87.60797112], [41.82760085, -87.60868274], [41.82904394, -87.60942206], [41.83109384, -87.61048463], [41.83132956, -87.61183025], [41.83129085, -87.61498074], [41.83127543, -87.61665041], [41.83115549, -87.61924829], [41.83132429, -87.62168256], [41.83298285, -87.62171274], [41.83495645, -87.62175813], [41.83643785, -87.62176374], [41.83825585, -87.62183074], [41.84060985, -87.62312074], [41.84188985, -87.62324574], [41.84363785, -87.62325374], [41.8458955, -87.62332593], [41.84732085, -87.62350575], [41.84946926, -87.62360839], [41.85115718, -87.62359165], [41.8531941, -87.62371448], [41.8545283, -87.62374702], [41.85571821, -87.62377619], [41.85813463, -87.62383315], [41.8605098, -87.62388583], [41.86451556, -87.62396506], [41.86599158, -87.62400465], [41.86790056, -87.62396984], [41.86915256, -87.62397025], [41.87051049, -87.62401209], [41.87179469, -87.62403975], [41.87340285, -87.62408775], [41.87554805, -87.62413205], [41.87814285, -87.62419875], [41.88067237, -87.62419229], [41.88237485, -87.62421075], [41.88429339, -87.62362601], [41.88478786, -87.62051875], [41.88809797, -87.6208499], [41.88833474, -87.62286036], [41.88691229, -87.62468635], [41.88511186, -87.62462075], [41.88308401, -87.6277524]]",,,,
X4,X4,Cottage Grove Express,78.49,73.34,90.0,75.5,,,33.0,33.0,"[[41.88478786, -87.62051875], [41.88809797, -87.6208499], [41.88833474, -87.62286036], [41.88691229, -87.62468635], [41.88511186, -87.62462075], [41.88342185, -87.62459375], [41.88063279, -87.62452219], [41.87843685, -87.62445175], [41.87627885, -87.62440175], [41.87456745, -87.62437947], [41.87329585, -87.62433475], [41.87201385, -87.62430975], [41.87029565, -87.62427657], [41.86909885, -87.62428375], [41.86712796, -87.62426473], [41.85995246, -87.62409992], [41.8525207, -87.6239148], [41.84547219, -87.62372217], [41.83819823, -87.62359705], [41.83100593, -87.62150853], [41.83105317, -87.61676479], [41.83108849, -87.61108227], [41.82412485, -87.60707374], [41.81658482, -87.60680602], [41.80965684, -87.60668309], [41.80234298, -87.6065358], [41.79509462, -87.60633606], [41.78968916, -87.6062439], [41.78414477, -87.60613567], [41.78053259, -87.60604548], [41.77291338, -87.60589981], [41.76538076, -87.60507525], [41.75871171, -87.59814669], [41.75845049, -87.60544157], [41.75111232, -87.60536393], [41.74381869, -87.60515529], [41.7367825, -87.60496944], [41.72912788, -87.60477324], [41.72271838, -87.60462411], [41.72199609, -87.61445396], [41.7215306, -87.62067708], [41.71645683, -87.62055173], [41.72143838, -87.6236348]]","[[41.72143838, -87.6236348], [41.72180452, -87.6136745], [41.72240981, -87.604366], [41.72928276, -87.60452425], [41.73654552, -87.60469941], [41.74393536, -87.60485979], [41.75116653, -87.60511443], [41.75853846, -87.60521332], [41.75910781, -87.59592368], [41.76618084, -87.60547566], [41.77332199, -87.60564409], [41.78057559, -87.60582442], [41.78398147, -87.60588367], [41.78940641, -87.60602907], [41.79523892, -87.606154], [41.80248531, -87.60630386], [41.80975571, -87.60646765], [41.81671471, -87.60661618], [41.8242926, -87.60698481], [41.83132956, -87.61183025], [41.83127543, -87.61665041], [41.83132429, -87.62168256], [41.83825585, -87.62183074], [41.8458955, -87.62332593], [41.8531941, -87.62371448], [41.8605098, -87.62388583], [41.86790056, -87.62396984], [41.86915256, -87.62397025], [41.87051049, -87.62401209], [41.87179469, -87.62403975], [41.87340285, -87.62408775], [41.87554805, -87.62413205], [41.87814285, -87.62419875], [41.88067237, -87.62419229], [41.88237485, -87.62421075], [41.88429339, -87.62362601], [41.88478786, -87.62051875]]",,,,
N5,N5,South Shore Night Bus,64.26,64.41,49.0,49.0,,,7.0,8.0,"[[41.76910704, -87.62601851], [41.76911015, -87.62466673], [41.76911581, -87.62349443], [41.76915781, -87.62191142], [41.76917881, -87.62031142], [41.76920781, -87.61869442], [41.76923381, -87.61706841], [41.76928838, -87.61548827], [41.76936223, -87.61358591], [41.7704783, -87.61225425], [41.77101784, -87.61169673], [41.77293175, -87.61174869], [41.77300381, -87.61071418], [41.77304238, -87.60832882], [41.7730819, -87.60595047], [41.77311026, -87.60339222], [41.77312226, -87.60218122], [41.77314126, -87.60100722], [41.77314526, -87.59980722], [41.77315626, -87.59849522], [41.77317291, -87.59722612], [41.77318403, -87.59599614], [41.77320302, -87.59448114], [41.77321765, -87.59302821], [41.77322865, -87.59172621], [41.77326168, -87.58886129], [41.77327682, -87.58644474], [41.77329736, -87.58517981], [41.77331168, -87.5839802], [41.77334273, -87.5815175], [41.77337284, -87.57916572], [41.77339236, -87.57669883], [41.77151711, -87.57656173], [41.76973765, -87.57644122], [41.76790565, -87.57640122], [41.76634433, -87.57638842], [41.76425325, -87.576421], [41.76244952, -87.57629132], [41.76061252, -87.57623632], [41.75882584, -87.5738252], [41.75886901, -87.57134008], [41.75890584, -87.56893772], [41.75893084, -87.56644772], [41.75895484, -87.56523772], [41.75897155, -87.56284523], [41.75900038, -87.56131273], [41.75978178, -87.55866559], [41.76049622, -87.55724981], [41.75865613, -87.55529695], [41.7569033, -87.55340487], [41.75506764, -87.55142704], [41.75326557, -87.54949063], [41.75208692, -87.54830885], [41.7500469, -87.54808398], [41.74818766, -87.54804472], [41.74638774, -87.54800827], [41.74486596, -87.54797997], [41.74476071, -87.54904465], [41.7447292, -87.55134698], [41.74418643, -87.55227598], [41.74352964, -87.55181747], [41.74108089, -87.55158398], [41.73931548, -87.55154303], [41.72801178, -87.55266232], [41.72653168, -87.55389532], [41.72645378, -87.55664671], [41.72645378, -87.55794771], [41.72636885, -87.56071039], [41.7263696, -87.56322683], [41.72628658, -87.56562179], [41.72627137, -87.56691553], [41.72625297, -87.5705333], [41.72614997, -87.57283531], [41.72618428, -87.57531618], [41.72615195, -87.57773232], [41.72610438, -87.5802008], [41.72608725, -87.5825026], [41.72608498, -87.58483783], [41.72583883, -87.58549572], [41.7243073, -87.58541772], [41.72258683, -87.58530072], [41.7223816, -87.58785192], [41.72234119, -87.59058598], [41.72231042, -87.59242157], [41.72230065, -87.59468603], [41.72399198, -87.59467263], [41.72591064, -87.59513589], [41.72587762, -87.59723428], [41.72584745, -87.59954063], [41.72585896, -87.6008363], [41.72546449, -87.60468606], [41.72271838, -87.60462411], [41.72213204, -87.60680285], [41.7220855, -87.60922629], [41.72206083, -87.61154273], [41.72200483, -87.61397273], [41.72196371, -87.61646558], [41.72192477, -87.61882512], [41.72188457, -87.62103355], [41.72184183, -87.62438973]]","[[41.72154788, -87.62463637], [41.72168377, -87.62074179], [41.72171112, -87.61911729], [41.72175499, -87.61666962], [41.7217841, -87.61434771], [41.72186958, -87.61183614], [41.72189483, -87.60956873], [41.72191557, -87.60698075], [41.72240981, -87.604366], [41.72553156, -87.60443926], [41.72572383, -87.60118573], [41.72572759, -87.59971696], [41.72576883, -87.59751272], [41.72579488, -87.5949986], [41.72412083, -87.59494972], [41.72210883, -87.59445672], [41.72216473, -87.59240156], [41.7221979, -87.59077277], [41.72221183, -87.58795772], [41.72269083, -87.58501572], [41.72446227, -87.58485067], [41.72587944, -87.5848265], [41.72592183, -87.58271672], [41.72596083, -87.58040172], [41.72599883, -87.57797972], [41.72606398, -87.57559706], [41.72605483, -87.57308972], [41.72610383, -87.57068372], [41.72614783, -87.56700772], [41.72619783, -87.56578772], [41.72624083, -87.56336172], [41.72626983, -87.56093871], [41.72631583, -87.55826171], [41.72635248, -87.55672065], [41.72636583, -87.55413771], [41.72758364, -87.55264993], [41.72812565, -87.55251551], [41.73912618, -87.55139078], [41.74125142, -87.55143048], [41.74338825, -87.55165639], [41.74453165, -87.55256649], [41.74460966, -87.55151533], [41.74463656, -87.54913273], [41.74486175, -87.54784624], [41.74670505, -87.54789006], [41.74838526, -87.5479019], [41.7502771, -87.54796949], [41.75224187, -87.54823814], [41.75364026, -87.54974274], [41.75553407, -87.55177877], [41.75729657, -87.55367943], [41.75903283, -87.55554668], [41.76050316, -87.55750518], [41.75995544, -87.55857726], [41.75912042, -87.56148861], [41.75909159, -87.56302112], [41.75907357, -87.56462228], [41.75905291, -87.56626298], [41.75902401, -87.56872144], [41.75899869, -87.57114673], [41.75896996, -87.57353351], [41.75894258, -87.57602427], [41.76091084, -87.57612372], [41.76277284, -87.57615072], [41.76452484, -87.57619572], [41.76635602, -87.57622564], [41.76813084, -87.57628572], [41.77004484, -87.57633372], [41.77169084, -87.5762272], [41.77353178, -87.57680707], [41.77349784, -87.57906872], [41.7734534, -87.58141398], [41.77342626, -87.58383618], [41.7733994, -87.58564316], [41.77339328, -87.58662153], [41.7733717, -87.58873024], [41.77334773, -87.59147341], [41.77333424, -87.59279125], [41.77331901, -87.59435301], [41.77330295, -87.59590507], [41.77329312, -87.59716488], [41.77328073, -87.59838383], [41.77326879, -87.59960694], [41.77325958, -87.60083075], [41.7732465, -87.60205094], [41.77321982, -87.60324177], [41.77322022, -87.60560431], [41.77316381, -87.60804758], [41.77312381, -87.61039859], [41.77282399, -87.61188851], [41.77132266, -87.61181732], [41.77075305, -87.6121053], [41.76942133, -87.61374894], [41.76940749, -87.61523438], [41.76938864, -87.61674419], [41.76937464, -87.6183762], [41.76929279, -87.62009266], [41.76929079, -87.62159267], [41.76925387, -87.623294], [41.76882756, -87.62585833]]",,,,
