route_id,route_number,route_description,distance_dir_0_km,distance_dir_1_km,trip_time_0_min,trip_time_1_min,road_gradient_0_%,road_gradient_1_%,number_of_daily_roundtrips_0,number_of_daily_roundtrips_1,stop_coordinates_array_0,stop_coordinates_array_1,daily_passenger_demand,emissions_impact_score,equity_score,base_buses
3-135-G-015-1,135,Thalkirchen (Tierpark) - Campingplatz Thalkirchen - Solln Bf. - Waldfriedhof Solln,4.9,5.04,15.0,15.5,1.368,0.595,61.0,61.0,"[[48.10101132, 11.54668415], [48.10055538, 11.54815739], [48.09676376, 11.54709738], [48.09468785, 11.54573194], [48.09162183, 11.54400717], [48.08718148, 11.5411685], [48.08241667, 11.53693743], [48.08129442, 11.52892446], [48.07920588, 11.52741529], [48.07711125, 11.52532221], [48.07536467, 11.52308541], [48.07218345, 11.51947418], [48.06913409, 11.5170128]]","[[48.06913409, 11.5170128], [48.07211142, 11.51973469], [48.07534666, 11.5234088], [48.0766491, 11.5250617], [48.07883377, 11.52736139], [48.0812284, 11.52911311], [48.08241067, 11.53709913], [48.08703746, 11.54117748], [48.09162183, 11.54400717], [48.09475385, 11.54534566], [48.09691975, 11.54408802], [48.10101132, 11.54668415]]",1057,706.39,0.1393,4
3-135-G-015-3,135,Thalkirchen (Tierpark) - Campingplatz Thalkirchen - Solln Bf. - Waldfriedhof Solln,4.9,5.04,15.0,15.5,1.368,0.595,61.0,61.0,"[[48.10101132, 11.54668415], [48.10055538, 11.54815739], [48.09676376, 11.54709738], [48.09468785, 11.54573194], [48.09162183, 11.54400717], [48.08718148, 11.5411685], [48.08241667, 11.53693743], [48.08129442, 11.52892446], [48.07920588, 11.52741529], [48.07711125, 11.52532221], [48.07536467, 11.52308541], [48.07218345, 11.51947418], [48.06913409, 11.5170128]]","[[48.06913409, 11.5170128], [48.07211142, 11.51973469], [48.07534666, 11.5234088], [48.0766491, 11.5250617], [48.07883377, 11.52736139], [48.0812284, 11.52911311], [48.08241067, 11.53709913], [48.08703746, 11.54117748], [48.09162183, 11.54400717], [48.09475385, 11.54534566], [48.09691975, 11.54408802], [48.10101132, 11.54668415]]",1057,706.39,0.1393,4
3-136-G-015-1,136,Wolfratshauser Str. - Obersendling - Aidenbachstr. - Solln Bf.,7.95,7.8,25.5,27.0,0.566,0.539,47.0,46.0,"[[48.09021176, 11.53705421], [48.09068579, 11.5328501], [48.09232985, 11.53013718], [48.09552183, 11.53241891], [48.09840163, 11.53810524], [48.10049539, 11.5378088], [48.10007545, 11.53353282], [48.09996146, 11.5295443], [48.09756171, 11.52430712], [48.09477785, 11.52316626], [48.09337387, 11.52244761], [48.09060778, 11.52052521], [48.09054178, 11.51785721], [48.09001375, 11.51414717], [48.08890366, 11.50916152], [48.08749351, 11.50710438], [48.08604733, 11.51039221], [48.08505117, 11.51316801], [48.08346089, 11.51755179], [48.08237466, 11.52012097], [48.08035218, 11.52377711], [48.07883377, 11.52736139], [48.08144445, 11.52757699]]","[[48.08144445, 11.52757699], [48.07920588, 11.52741529], [48.08071828, 11.52342677], [48.08271673, 11.51977063], [48.08391097, 11.51676127], [48.08514119, 11.51332072], [48.08639537, 11.50981729], [48.08749952, 11.50731998], [48.08880765, 11.50917949], [48.08992374, 11.51421005], [48.09040377, 11.51725534], [48.09069779, 11.52136064], [48.09343987, 11.52277998], [48.09541383, 11.52354355], [48.09799367, 11.52385796], [48.09891158, 11.52398373], [48.09969749, 11.52864598], [48.09989547, 11.5327962], [48.10003945, 11.53814117], [48.09847363, 11.53792558], [48.09533583, 11.53147567], [48.09235985, 11.52994854], [48.09052978, 11.53380231], [48.09021176, 11.53705421]]",1405,857.92,0.5357,3
3-139-G-015-1,139,Klinikum Harlaching - Mangfallplatz - Giesing Bf. - Neuperlach Zentrum - Trudering Bf. - Messestadt West,18.08,18.14,65.0,66.0,0.564,0.766,59.0,62.0,"[[48.08710947, 11.55625121], [48.08840561, 11.55946718], [48.09043977, 11.56412045], [48.09312186, 11.56998645], [48.09478385, 11.57398395], [48.09643978, 11.57777484], [48.09787368, 11.58130522], [48.09852162, 11.58272456], [48.09990147, 11.58647054], [48.1011073, 11.59115974], [48.1023791, 11.59636099], [48.10731601, 11.59625319], [48.11057303, 11.59557047], [48.10678815, 11.59670235], [48.10820976, 11.60393379], [48.10554646, 11.60454464], [48.10107131, 11.6071228], [48.10132327, 11.6104286], [48.1011193, 11.61692342], [48.10085534, 11.62304993], [48.09978748, 11.63075748], [48.09918155, 11.63662348], [48.10325494, 11.63746789], [48.10422675, 11.64079166], [48.1011193, 11.64697207], [48.10086134, 11.64782547], [48.10665618, 11.64655885], [48.10880959, 11.64660376], [48.11225844, 11.64949634], [48.11480745, 11.65255959], [48.11666665, 11.65593726], [48.11915546, 11.66050968], [48.12324526, 11.66639365], [48.12557186, 11.663007], [48.1235211, 11.66734586], [48.12161418, 11.670472], [48.12624344, 11.67402933], [48.12921746, 11.67676919], [48.13282082, 11.67996719], [48.13536881, 11.68452165], [48.13518296, 11.69018104], [48.13351629, 11.68951628]]","[[48.13333043, 11.69015409], [48.13553068, 11.689669], [48.13552468, 11.6845486], [48.13276686, 11.67977854], [48.12898362, 11.676338], [48.12636336, 11.67394848], [48.12195599, 11.67013962], [48.123683, 11.66742671], [48.12556586, 11.6635909], [48.12326325, 11.66623195], [48.11930539, 11.66058155], [48.11670263, 11.65569471], [48.11451357, 11.65200264], [48.11270228, 11.64982871], [48.10854566, 11.64630732], [48.10647623, 11.64621749], [48.1011193, 11.64697207], [48.10093933, 11.64736733], [48.1044427, 11.63997419], [48.10255907, 11.63647076], [48.09902557, 11.63585093], [48.10062737, 11.63046104], [48.10100532, 11.62184619], [48.10125728, 11.61689647], [48.10143125, 11.61049149], [48.10140726, 11.60644008], [48.10378884, 11.60566753], [48.10853967, 11.60331395], [48.10731601, 11.59625319], [48.11091492, 11.59543572], [48.10630227, 11.59623522], [48.102913, 11.59663947], [48.10127528, 11.59080042], [48.09998546, 11.58578782], [48.0987736, 11.58267066], [48.09774769, 11.58037098], [48.09655977, 11.57761315], [48.09492785, 11.57378632], [48.09318186, 11.56965407], [48.09005575, 11.56299756], [48.08865764, 11.55971871], [48.08710947, 11.55625121]]",4458,2503.8,0.4374,9
3-140-G-015-4,140,Kieferngarten - Heidemannstraße - Parzivalplatz - Scheidplatz,7.8,8.11,28.5,29.0,0.654,0.542,62.0,61.0,"[[48.20271566, 11.61272829], [48.20066199, 11.61159641], [48.20080569, 11.60599093], [48.20226661, 11.60285581], [48.20522425, 11.59968475], [48.20589479, 11.59413317], [48.20174571, 11.59268688], [48.20134456, 11.58886904], [48.20060212, 11.58506018], [48.19800348, 11.58459306], [48.19557237, 11.58409], [48.19276389, 11.58384746], [48.1873381, 11.58422475], [48.18402006, 11.58450323], [48.18153439, 11.58474577], [48.17837172, 11.58502425], [48.17601756, 11.585159], [48.17161445, 11.58588663], [48.17015865, 11.57738857], [48.17030842, 11.57432531], [48.1717822, 11.57293292]]","[[48.1717822, 11.57293292], [48.17017662, 11.57434328], [48.17006878, 11.57741552], [48.17189003, 11.5859585], [48.17564017, 11.58568002], [48.1779584, 11.58553629], [48.18203154, 11.58506018], [48.18463098, 11.58480865], [48.18817057, 11.58456611], [48.19252435, 11.58417085], [48.19609333, 11.58462001], [48.19856034, 11.58500628], [48.20094939, 11.58602138], [48.20133258, 11.59026143], [48.20220075, 11.59360316], [48.20572715, 11.59431283], [48.20539189, 11.59948712], [48.20214088, 11.60336785], [48.20039854, 11.60620652], [48.2011829, 11.61195574], [48.20271566, 11.61272829]]",1922,1130.84,0.5052,5
3-141-G-015-4,141,Dülferstraße - Harfhof - Heidemannstraße - Parzivalplatz - Scheidplatz,8.77,9.06,31.5,31.0,0.638,0.497,52.0,53.0,"[[48.21221653, 11.5623328], [48.20852296, 11.56303349], [48.20703228, 11.56324909], [48.2046016, 11.56422825], [48.2053859, 11.56817185], [48.20926528, 11.56801914], [48.21002556, 11.57207953], [48.21064216, 11.57542126], [48.21081576, 11.58126031], [48.2100974, 11.58686579], [48.20532004, 11.5859585], [48.20060212, 11.58506018], [48.19800348, 11.58459306], [48.19557237, 11.58409], [48.19276389, 11.58384746], [48.1873381, 11.58422475], [48.18402006, 11.58450323], [48.18153439, 11.58474577], [48.17837172, 11.58502425], [48.17601756, 11.585159], [48.17161445, 11.58588663], [48.17015865, 11.57738857], [48.17030842, 11.57432531], [48.1717822, 11.57293292]]","[[48.1717822, 11.57293292], [48.17017662, 11.57434328], [48.17006878, 11.57741552], [48.17189003, 11.5859585], [48.17564017, 11.58568002], [48.1779584, 11.58553629], [48.18203154, 11.58506018], [48.18463098, 11.58480865], [48.18817057, 11.58456611], [48.19252435, 11.58417085], [48.19609333, 11.58462001], [48.19856034, 11.58500628], [48.20175769, 11.58567104], [48.20596663, 11.58650647], [48.21056433, 11.58652444], [48.21084569, 11.58282338], [48.21071399, 11.57516973], [48.21004352, 11.57148664], [48.20949876, 11.56849525], [48.2051105, 11.56808202], [48.20498477, 11.56396774], [48.20737951, 11.56355451], [48.21222252, 11.56288078]]",1751,1080.87,0.4644,4
3-142-G-015-1,142,Scheidplatz - Parzivalplatz - Münchner Freiheit,3.21,3.16,12.0,11.5,0.592,1.108,105.0,104.0,"[[48.17160846, 11.57258258], [48.1758079, 11.57304971], [48.17752112, 11.57573567], [48.17602355, 11.57966131], [48.17531069, 11.58167353], [48.17235732, 11.58231134], [48.17103333, 11.58544646], [48.16662381, 11.58605731], [48.16283706, 11.58618308]]","[[48.16223188, 11.58653342], [48.167882, 11.58642562], [48.17120707, 11.58544646], [48.17248911, 11.58245507], [48.17532866, 11.58189811], [48.17608346, 11.57882587], [48.17561621, 11.57319344], [48.17160846, 11.57258258]]",1315,777.15,0.5808,4
3-143-G-015-1,143,"Freiham, Möbel Höffner - Langwied Bf. - Blutenburg - Amalienburgstraße - Georg-Brauchle-Ring - Olympia-Einkaufszentrum",15.4,15.28,47.0,47.5,0.507,0.727,56.0,43.0,"[[48.13423572, 11.41290704], [48.13514699, 11.41104753], [48.13843822, 11.40912513], [48.14166929, 11.40350168], [48.14246054, 11.40782258], [48.14551753, 11.41053549], [48.14641062, 11.4140479], [48.14886803, 11.41377841], [48.15038437, 11.41329332], [48.15379448, 11.41380536], [48.1572583, 11.41587148], [48.159859, 11.41517978], [48.16060803, 11.42047085], [48.16136903, 11.42363292], [48.16301083, 11.43262506], [48.16355609, 11.43574221], [48.16387365, 11.44376417], [48.16437097, 11.44796829], [48.16502406, 11.45298088], [48.16491621, 11.45719398], [48.16469452, 11.46418288], [48.16468254, 11.46810851], [48.16455072, 11.47354332], [48.16410733, 11.47868169], [48.16372386, 11.48593109], [48.16540753, 11.4944022], [48.16430506, 11.50298111], [48.16415527, 11.50745472], [48.16715704, 11.5097095], [48.17035635, 11.51115578], [48.1734057, 11.51532397], [48.17522084, 11.52132471], [48.17688017, 11.5293287], [48.18201956, 11.53037075]]","[[48.181762, 11.52918497], [48.17663457, 11.52827767], [48.17526876, 11.52065098], [48.17348357, 11.51474006], [48.16937382, 11.51030238], [48.16726489, 11.50936814], [48.16403543, 11.50699658], [48.1646346, 11.50219958], [48.16573107, 11.49406084], [48.16385568, 11.48676652], [48.16426911, 11.47868169], [48.16465258, 11.47333671], [48.1648503, 11.46609629], [48.16486229, 11.46274557], [48.16451477, 11.45630465], [48.1640594, 11.45530752], [48.1651379, 11.45295394], [48.16442489, 11.44759099], [48.16386766, 11.44272212], [48.1638377, 11.43513136], [48.16313067, 11.4322837], [48.16135704, 11.4230041], [48.16066196, 11.42009356], [48.15979908, 11.41505401], [48.15685679, 11.41588945], [48.15385441, 11.41375146], [48.15055219, 11.41302382], [48.14831662, 11.41376044], [48.14665637, 11.4142635], [48.14552353, 11.41035582], [48.14091399, 11.40953836], [48.13794065, 11.40913412], [48.13462541, 11.41103854], [48.13423572, 11.41290704]]",2506,1725.33,0.2966,8
3-144-G-015-3,144,Scheidplatz - Olympiaberg - Rotkreuzplatz,6.22,5.96,21.5,19.5,1.077,0.822,45.0,45.0,"[[48.17147666, 11.57304072], [48.16740868, 11.57189088], [48.16792394, 11.56544996], [48.16869082, 11.55942226], [48.16798984, 11.55467916], [48.16929593, 11.54920842], [48.17148864, 11.54595652], [48.17056005, 11.53957848], [48.16940976, 11.53744947], [48.16612651, 11.53734167], [48.16261536, 11.53742252], [48.15980507, 11.53512283], [48.15921782, 11.53006532], [48.1562815, 11.53123313], [48.15260187, 11.53392808]]","[[48.15260187, 11.53392808], [48.15261985, 11.53735964], [48.15626951, 11.53755727], [48.15937362, 11.53769202], [48.1649222, 11.53815914], [48.17050014, 11.53973119], [48.1713868, 11.5460733], [48.1691102, 11.54919944], [48.16778015, 11.55484984], [48.16854703, 11.55942226], [48.16778015, 11.56544996], [48.16742666, 11.56992357], [48.1707218, 11.57366056], [48.17147666, 11.57304072]]",1194,634.17,0.3826,3
3-145-G-015-1,145,Ostbahnhof - Karl-Preis-Platz - Balanstraße - Fasangarten,7.87,7.08,24.0,21.5,0.623,0.452,104.0,107.0,"[[48.12773047, 11.60365531], [48.12553588, 11.59975662], [48.12418071, 11.60129274], [48.12114643, 11.60561363], [48.11834586, 11.60911706], [48.11633679, 11.60349361], [48.11234241, 11.60297259], [48.10820976, 11.60393379], [48.10554646, 11.60454464], [48.10455668, 11.60925181], [48.10048939, 11.60644907], [48.09740572, 11.60768874], [48.09554583, 11.60926079], [48.09270786, 11.60972792], [48.08978573, 11.61109336], [48.08870564, 11.60762586], [48.08775754, 11.59940628], [48.09117781, 11.59767253], [48.09261786, 11.60150833], [48.09341587, 11.6040326]]","[[48.09341587, 11.6040326], [48.09281586, 11.60193953], [48.0908838, 11.59729524], [48.08742751, 11.59941526], [48.08856763, 11.60743721], [48.08985774, 11.61125505], [48.09285186, 11.60992555], [48.09553983, 11.60954826], [48.09733372, 11.6080301], [48.10140726, 11.60644008], [48.10378884, 11.60566753], [48.10907351, 11.60414938], [48.11266629, 11.60311632], [48.11594097, 11.60283784], [48.11872368, 11.60926079], [48.12127236, 11.60564058], [48.1251821, 11.59997221], [48.12716084, 11.60249648]]",2465,1810.22,0.3774,8
3-149-G-015-1,149,Ostbahnhof (Post) - Vogelweideplatz - Zamilapark,4.88,4.64,16.5,18.0,0.512,0.862,44.0,44.0,"[[48.1287198, 11.60479617], [48.13224526, 11.60517346], [48.13645991, 11.61018606], [48.13680762, 11.61439018], [48.13730519, 11.61991481], [48.13617215, 11.62447826], [48.13903169, 11.62865542], [48.14029656, 11.63690196], [48.1399189, 11.6440795], [48.13978102, 11.64749309], [48.14009274, 11.64831954], [48.14238261, 11.64977481]]","[[48.14238261, 11.64977481], [48.1421848, 11.64745716], [48.14009874, 11.64805005], [48.13993688, 11.64774462], [48.14005677, 11.64305542], [48.14039247, 11.63770146], [48.14035051, 11.63541075], [48.1391396, 11.62862847], [48.13749104, 11.61973515], [48.13685558, 11.6140039], [48.1362321, 11.60863197], [48.13332444, 11.60494888], [48.12882173, 11.60455362]]",1073,485.39,0.4737,2
3-150-G-015-1,150,Bremer Str. - Frankfurter Ring - Alte Heide - Nordfriedhof - Arabellapark,7.93,7.85,24.5,24.0,0.896,0.751,73.0,72.0,"[[48.18918269, 11.56988764], [48.18712849, 11.57258258], [48.1858528, 11.57269936], [48.18434349, 11.57535838], [48.18417579, 11.57857434], [48.18426563, 11.585159], [48.18406798, 11.59123161], [48.182918, 11.5965676], [48.18054608, 11.60153528], [48.17973744, 11.6032331], [48.17306423, 11.5976366], [48.15592793, 11.6071228], [48.15359072, 11.61702224], [48.15330905, 11.62018431]]","[[48.15330905, 11.62018431], [48.15381845, 11.62094788], [48.15396828, 11.61688749], [48.15613768, 11.6072845], [48.16955954, 11.59937034], [48.1741066, 11.59833728], [48.17978536, 11.60350259], [48.18091745, 11.60125681], [48.18301982, 11.59675625], [48.18425365, 11.59082737], [48.18435547, 11.5841978], [48.1842836, 11.57893367], [48.18446328, 11.57538533], [48.18603247, 11.57284309], [48.18785316, 11.57276224], [48.18918269, 11.56988764]]",1874,1290.53,0.4555,6
3-151-G-015-5,151,Westfriedhof - Romanpl. - Laim Bf. - Laimer Pl. - Holzapfelkreuth - Parkstadt Solln,14.75,12.8,54.5,47.0,0.963,0.438,58.0,56.0,"[[48.16933787, 11.52819682], [48.16866086, 11.52230388], [48.16837928, 11.51428192], [48.16937382, 11.51030238], [48.16726489, 11.50936814], [48.16403543, 11.50699658], [48.16105144, 11.51135341], [48.15794144, 11.51143426], [48.15590396, 11.51122765], [48.14623081, 11.52017487], [48.14338365, 11.51929452], [48.14341362, 11.50205585], [48.14017067, 11.50296315], [48.13604026, 11.50283738], [48.13132195, 11.50265772], [48.1258237, 11.50258585], [48.12087658, 11.50233433], [48.11589299, 11.5022445], [48.11157469, 11.50216365], [48.10817377, 11.50203788], [48.09738772, 11.50760744], [48.09420786, 11.50467893], [48.09146583, 11.50586471], [48.08961172, 11.50273857], [48.08689944, 11.50284637], [48.08215261, 11.50355604], [48.07947595, 11.5037357]]","[[48.07947595, 11.5037357], [48.08233265, 11.50393333], [48.08637737, 11.50318773], [48.0894257, 11.50308891], [48.09193384, 11.50632285], [48.09499384, 11.505173], [48.09857562, 11.50771524], [48.10716005, 11.50234331], [48.1126363, 11.50251399], [48.11665465, 11.5026128], [48.1217581, 11.50276552], [48.12584169, 11.503044], [48.13604026, 11.50316078], [48.13951127, 11.50325061], [48.14305397, 11.503574], [48.14740559, 11.50340332], [48.14964119, 11.50358298], [48.15133131, 11.50434655], [48.15297943, 11.50846982], [48.15494512, 11.51174867], [48.15907401, 11.51166782], [48.16119525, 11.51144324], [48.16415527, 11.50745472], [48.16715704, 11.5097095], [48.16954157, 11.51133545], [48.16806773, 11.51476701], [48.16855901, 11.52241167], [48.16933787, 11.52819682]]",3687,1773.3,0.417,11
3-153-G-015-1,153,Giesing Bf. - Candidpl. - Am Harras - Schwanthalerhöhe - Donnersbergerbrücke - Hochschule München (Lothstr.) - Josephspl. - Universität - Odeonsplatz,14.16,14.76,57.5,58.0,0.756,0.833,30.0,28.0,"[[48.11080096, 11.59398944], [48.10982328, 11.5890487], [48.11092691, 11.58449424], [48.11083095, 11.5791852], [48.11194656, 11.57534041], [48.11176662, 11.56984272], [48.11311612, 11.56608776], [48.11235441, 11.55281066], [48.11214449, 11.54819332], [48.11284023, 11.54022527], [48.1172004, 11.54018933], [48.12009099, 11.54087205], [48.12189602, 11.5412224], [48.12571577, 11.54064747], [48.12795832, 11.53916525], [48.13102816, 11.53938983], [48.13331244, 11.53983001], [48.13499711, 11.53740456], [48.13526689, 11.53414367], [48.13629804, 11.53442215], [48.13970909, 11.53480842], [48.14253247, 11.53489826], [48.14672829, 11.53661404], [48.1500847, 11.53710811], [48.15141522, 11.53827592], [48.15086983, 11.5450043], [48.1523981, 11.55048403], [48.15455558, 11.5544995], [48.15641334, 11.55904497], [48.15593992, 11.56220704], [48.1547953, 11.5660698], [48.15304536, 11.56595302], [48.15249998, 11.56796524], [48.15176882, 11.57051646], [48.15106761, 11.57293292], [48.15030646, 11.57569075], [48.14903585, 11.58018233], [48.14493013, 11.5784935], [48.14308994, 11.57798146]]","[[48.14308994, 11.57798146], [48.14566738, 11.57916723], [48.14916771, 11.58011945], [48.15025851, 11.57616686], [48.15100168, 11.57361564], [48.15173286, 11.57092968], [48.1526618, 11.56779456], [48.15320717, 11.56587217], [48.15485522, 11.56631234], [48.15604779, 11.56216212], [48.15652121, 11.5591348], [48.15468742, 11.5544456], [48.15242807, 11.5503403], [48.15043831, 11.54417785], [48.15147515, 11.53667692], [48.14992288, 11.53655116], [48.14606897, 11.53532945], [48.14267034, 11.53442215], [48.13943933, 11.53396401], [48.13633401, 11.53422452], [48.13489519, 11.53446706], [48.13485922, 11.53739557], [48.13363619, 11.53965933], [48.1305605, 11.53910237], [48.12791634, 11.53903949], [48.1259796, 11.54029713], [48.12207592, 11.54104273], [48.11997705, 11.54056663], [48.11617487, 11.54003662], [48.11311013, 11.5392461], [48.11132278, 11.53938085], [48.11219847, 11.54928028], [48.11209051, 11.55442763], [48.11277425, 11.56597098], [48.11113684, 11.57007628], [48.11249836, 11.57672382], [48.11120882, 11.57991283], [48.11093291, 11.5839822], [48.10970331, 11.58928226], [48.11082495, 11.59531894]]",2121,979.18,0.8148,12
3-154-G-015-9,154,Nordbad - Josephsplatz - Universität - Giselastraße - Herkomerplatz - Arabellapark - Johanneskirchen Bf. - Westerlandanger,12.35,12.27,45.0,44.0,0.737,0.742,105.0,102.0,"[[48.16087168, 11.56288078], [48.15771373, 11.5599882], [48.15641334, 11.55904497], [48.15593992, 11.56220704], [48.1547953, 11.5660698], [48.15304536, 11.56595302], [48.15249998, 11.56796524], [48.15176882, 11.57051646], [48.15106761, 11.57293292], [48.15030646, 11.57569075], [48.14903585, 11.58018233], [48.15142121, 11.58187116], [48.15532866, 11.58370373], [48.15707852, 11.58508713], [48.15655117, 11.58937209], [48.15256591, 11.59341451], [48.15014464, 11.59625319], [48.14877813, 11.60123884], [48.15076795, 11.6090452], [48.15184074, 11.6130966], [48.15359072, 11.61702224], [48.15354877, 11.62059753], [48.1536087, 11.62357096], [48.15349483, 11.6288261], [48.15505898, 11.63749484], [48.1570965, 11.64202235], [48.15908599, 11.64253439], [48.16242961, 11.64523832], [48.16526972, 11.64480713], [48.16839725, 11.64363932], [48.16933787, 11.6446634], [48.16930791, 11.64760089], [48.16684549, 11.65955747], [48.16221989, 11.66258479]]","[[48.16221989, 11.66258479], [48.16733679, 11.65957543], [48.16939778, 11.64760089], [48.16901435, 11.64335186], [48.16748058, 11.64357644], [48.16514389, 11.64460052], [48.16253747, 11.64499578], [48.15837889, 11.64184269], [48.15672496, 11.64116895], [48.1552088, 11.63728823], [48.15360271, 11.62856559], [48.15389037, 11.6229601], [48.15381845, 11.62094788], [48.15396828, 11.61688749], [48.15220033, 11.61280914], [48.1508998, 11.60858706], [48.148892, 11.60021476], [48.15028249, 11.59638794], [48.15101966, 11.5949686], [48.15293149, 11.5934774], [48.15671896, 11.58871632], [48.15723433, 11.58479967], [48.15501104, 11.58319169], [48.15147515, 11.58161065], [48.14916771, 11.58011945], [48.15025851, 11.57616686], [48.15100168, 11.57361564], [48.15173286, 11.57092968], [48.1526618, 11.56779456], [48.15320717, 11.56587217], [48.15485522, 11.56631234], [48.15604779, 11.56216212], [48.15652121, 11.5591348], [48.15773171, 11.56037448], [48.16087168, 11.56288078]]",6150,2980.76,0.5407,10
3-155-G-015-1,155,Max-Weber-Platz - Ostbahnhof (Post) - Karl-Preis-Platz - Emdenstraße,5.42,5.53,19.5,18.0,0.849,0.688,64.0,64.0,"[[48.13548871, 11.59990933], [48.13549471, 11.60489498], [48.13332444, 11.60494888], [48.12882173, 11.60455362], [48.12748463, 11.60255936], [48.12553588, 11.59975662], [48.12418071, 11.60129274], [48.12114643, 11.60561363], [48.11814196, 11.6100064], [48.11550316, 11.61419255], [48.1156351, 11.62128924], [48.11645674, 11.62520589], [48.1126483, 11.62634675], [48.1103751, 11.6273349], [48.10705808, 11.62783796]]","[[48.10705808, 11.62783796], [48.11086693, 11.62740676], [48.11319409, 11.62629285], [48.11672662, 11.62522386], [48.11576105, 11.62114551], [48.11568908, 11.61376135], [48.11872368, 11.60926079], [48.12127236, 11.60564058], [48.1251821, 11.59997221], [48.1287198, 11.60479617], [48.13224526, 11.60517346], [48.13575849, 11.60491295], [48.13576449, 11.60062799]]",1487,811.94,0.6773,3
3-157-G-015-6,157,"Germering, Neue Gautinger Str. - Germering-Upf. - Freiham Bf. - Pasing Bf. - Laim Bf. - Am Harras",28.11,27.72,93.0,91.5,0.576,0.592,44.0,43.0,"[[48.11803401, 11.37360575], [48.11666065, 11.36825179], [48.11714643, 11.36401174], [48.11757223, 11.35772353], [48.11965921, 11.3559808], [48.12215988, 11.35798404], [48.12771848, 11.35524418], [48.12879775, 11.3602478], [48.12922345, 11.36444293], [48.13117206, 11.36678753], [48.13122602, 11.37113538], [48.13148383, 11.37582459], [48.13207139, 11.37952564], [48.1374131, 11.37497119], [48.13767088, 11.37793563], [48.13674767, 11.38341535], [48.13604625, 11.38722421], [48.13889382, 11.41196381], [48.14091399, 11.40953836], [48.14166929, 11.40350168], [48.14264636, 11.40801122], [48.14493013, 11.40669968], [48.14638065, 11.40590018], [48.14946139, 11.40504678], [48.15201454, 11.40672663], [48.15254194, 11.41023006], [48.15379448, 11.41380536], [48.15700661, 11.41505401], [48.15811522, 11.41363468], [48.15687477, 11.41521571], [48.15583205, 11.41771303], [48.15579609, 11.42052475], [48.15650922, 11.42303105], [48.15729425, 11.42679499], [48.15768377, 11.43012774], [48.15671896, 11.43509543], [48.15311128, 11.4355895], [48.15205649, 11.44055718], [48.14919767, 11.44102431], [48.14607497, 11.44766286], [48.14808287, 11.45418463], [48.1488021, 11.45989791], [48.14657245, 11.46100284], [48.14601503, 11.465719], [48.1453497, 11.47104601], [48.14487618, 11.48355055], [48.14419286, 11.49039572], [48.14358146, 11.49649528], [48.14341362, 11.50205585], [48.14147147, 11.51209901], [48.13914559, 11.51172172], [48.13497913, 11.51420107], [48.1348832, 11.51677025], [48.13468536, 11.52350762], [48.13204741, 11.52951735], [48.13081232, 11.53113431], [48.1282761, 11.53431435], [48.12593763, 11.53555403], [48.12381493, 11.53470063], [48.12018694, 11.53460181], [48.1167746, 11.53593132], [48.11617487, 11.54003662]]","[[48.11692453, 11.53926407], [48.1169905, 11.53555403], [48.12089457, 11.53500605], [48.12407277, 11.53453893], [48.12668116, 11.53576064], [48.12838403, 11.53465571], [48.13222727, 11.5293826], [48.13478129, 11.52234879], [48.13506306, 11.51687805], [48.13545274, 11.51376988], [48.13938538, 11.51164986], [48.14172923, 11.51236851], [48.14341362, 11.50184025], [48.14380924, 11.4972319], [48.14449256, 11.49023402], [48.14523582, 11.48214918], [48.14558946, 11.47036329], [48.14639863, 11.46477576], [48.1467223, 11.46183827], [48.14947937, 11.45900858], [48.14836457, 11.45405886], [48.14644059, 11.44653996], [48.14934152, 11.44105126], [48.15205649, 11.44074583], [48.15311727, 11.43576018], [48.15671896, 11.43524814], [48.15779762, 11.43010079], [48.15731223, 11.42619312], [48.1566051, 11.42297715], [48.15587999, 11.42044391], [48.15591595, 11.41770404], [48.15700661, 11.41505401], [48.15811522, 11.41363468], [48.15687477, 11.41521571], [48.15385441, 11.41375146], [48.15258988, 11.40985277], [48.15209245, 11.40660087], [48.14965917, 11.40480424], [48.14598506, 11.40581933], [48.14480425, 11.40645714], [48.1426044, 11.40782258], [48.14121971, 11.40341185], [48.13869, 11.41120922], [48.14091399, 11.40953836], [48.13616615, 11.38734099], [48.13687356, 11.38347823], [48.13781476, 11.37796258], [48.13743708, 11.37451304], [48.13210137, 11.37913937], [48.13148982, 11.37552814], [48.13123801, 11.37124318], [48.13118405, 11.36606888], [48.12921146, 11.36368835], [48.12782041, 11.35530706], [48.12220185, 11.35767862], [48.1196892, 11.3558191], [48.11753625, 11.3576337], [48.11702648, 11.36398479], [48.1165467, 11.36814399], [48.11796205, 11.37365066]]",4929,2750.91,0.4083,10
